Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude
Chondrohierax wilsonii,Accipitridae,Accipitriformes,38.4,11.8,20.6,23.0,244.0,26.0,185.0,286.1,Forest,Carnivore,Invertivore,Insessorial,2.0,3890.11,20.18,20.75,-74.96,20.47
Circaetus beaudouini,Accipitridae,Accipitriformes,45.6,15.1,22.7,79.3,501.8,43.5,259.6,1500.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,3453409.14,5.44,20.86,6.2,11.2
Circaetus cinerascens,Accipitridae,Accipitriformes,42.2,13.5,21.7,68.1,379.5,30.4,220.5,1126.0,Forest,Carnivore,Vertivore,Insessorial,1.0,5762003.0,-21.4,16.0,18.67,-0.6
Circaetus cinereus,Accipitridae,Accipitriformes,54.7,15.8,28.6,94.3,517.8,42.9,254.0,2048.0,Shrubland,Carnivore,Vertivore,Insessorial,1.0,11541044.04,-30.93,18.54,22.83,-3.63
Circaetus fasciolatus,Accipitridae,Accipitriformes,39.8,13.9,23.0,71.7,362.2,28.0,227.0,1013.6,Woodland,Carnivore,Vertivore,Insessorial,1.0,734455.97,-29.24,1.34,37.83,-10.35
Circaetus gallicus,Accipitridae,Accipitriformes,47.0,15.5,24.6,90.9,537.0,40.5,280.4,1699.1,Woodland,Carnivore,Vertivore,Aerial,3.0,12695589.93,-10.94,60.6,51.26,40.79
Circaetus pectoralis,Accipitridae,Accipitriformes,46.7,14.6,23.1,83.8,527.8,43.0,259.4,1500.0,Woodland,Carnivore,Vertivore,Generalist,1.0,9328714.6,-31.71,15.86,28.83,-10.32
Circus aeruginosus,Accipitridae,Accipitriformes,37.3,11.9,16.2,79.3,405.7,45.6,233.9,704.1,Wetland,Carnivore,Vertivore,Aerial,2.0,13390803.81,29.17,66.56,51.14,50.03
Circus approximans,Accipitridae,Accipitriformes,39.5,11.9,16.4,89.3,406.9,44.7,233.2,746.2,Wetland,Carnivore,Vertivore,Aerial,2.0,2033024.84,-47.28,-13.07,146.38,-33.9
Circus assimilis,Accipitridae,Accipitriformes,36.1,11.2,16.2,95.2,421.6,45.0,271.1,558.6,Grassland,Carnivore,Vertivore,Aerial,2.0,7817547.59,-39.14,1.76,134.02,-25.0
Circus buffoni,Accipitridae,Accipitriformes,41.4,12.7,16.6,85.3,436.0,48.2,265.0,507.4,Grassland,Carnivore,Vertivore,Aerial,2.0,4327364.53,-41.17,10.7,-55.29,-22.38
Circus cinereus,Accipitridae,Accipitriformes,29.8,9.3,12.9,67.5,344.5,44.3,240.4,399.7,Grassland,Carnivore,Vertivore,Aerial,2.0,2424495.35,-55.98,6.79,-69.21,-36.62
Circus cyaneus,Accipitridae,Accipitriformes,30.1,9.7,13.0,72.1,352.4,44.7,131.7,393.0,Grassland,Carnivore,Vertivore,Aerial,3.0,17331412.86,37.61,73.38,84.36,58.07
Circus hudsonius,Accipitridae,Accipitriformes,31.1,10.1,13.2,82.0,360.9,44.6,212.9,393.0,Grassland,Carnivore,Vertivore,Aerial,3.0,12347245.55,30.02,69.8,-111.67,52.86
Circus macrosceles,Accipitridae,Accipitriformes,37.4,11.6,16.1,92.2,420.9,47.8,242.7,663.6,Grassland,Carnivore,Vertivore,Aerial,1.0,412352.02,-24.47,-11.36,46.18,-19.14
