Species1,Family1,Order1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,Min.Latitude,Max.Latitude,Centroid.Longitude,Centroid.Latitude,bio_1,bio_4,bio_5,bio_6,bio_12
Aviceda cuculoides,Accipitridae,Accipitriformes,25.5,10.6,13.9,33.0,264.6,42.4,154.2,277.0,Forest,Carnivore,Vertivore,Insessorial,1.0,10593852.38,-34.21,14.08,21.08,-3.74,24.64356231689453,42.445838928222656,29.988000869750977,19.067501068115234,1763.0
Aviceda leuphotes,Accipitridae,Accipitriformes,24.6,10.2,12.5,25.0,230.6,35.3,124.0,194.0,Forest,Carnivore,Invertivore,Insessorial,3.0,3528791.57,8.56,33.35,103.96,23.21,14.888280868530273,436.89892578125,23.15049934387207,3.515749931335449,1500.0
Aviceda madagascariensis,Accipitridae,Accipitriformes,28.6,11.6,16.2,38.7,314.2,33.8,169.2,277.0,Forest,Carnivore,Vertivore,Insessorial,1.0,340717.9,-25.09,-11.95,47.27,-18.1,18.611021041870117,223.46144104003906,27.077499389648438,8.595250129699707,1458.0
Aviceda subcristata,Accipitridae,Accipitriformes,28.3,11.6,14.7,36.3,336.6,40.2,202.0,322.7,Forest,Carnivore,Omnivore,Insessorial,1.0,1718124.83,-34.97,2.65,141.78,-12.44,26.117572784423828,138.32394409179688,33.52176284790039,18.591184616088867,1624.0
Busarellus nigricollis,Accipitridae,Accipitriformes,40.8,12.5,17.6,76.1,393.5,27.0,199.8,766.1,Forest,Carnivore,Aquatic predator,Insessorial,1.0,12825637.87,-34.19,23.94,-59.48,-7.16,26.093542098999023,35.1960334777832,33.32175064086914,19.00200080871582,1987.0
Butastur indicus,Accipitridae,Accipitriformes,40.5,10.4,14.5,53.4,327.6,46.9,191.8,414.6,Woodland,Carnivore,Vertivore,Insessorial,3.0,1828306.34,30.99,52.35,129.81,44.31,2.2581770420074463,1365.750244140625,24.531749725341797,-23.729249954223633,606.0
Butastur liventer,Accipitridae,Accipitriformes,31.3,10.5,14.0,61.7,275.0,42.0,149.0,338.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,1357262.8,-8.78,23.45,104.1,12.53,27.755489349365234,159.1796112060547,34.8337516784668,19.8802490234375,1379.0
Butastur rufipennis,Accipitridae,Accipitriformes,28.7,10.3,12.3,58.4,311.2,45.8,181.4,334.9,Woodland,Carnivore,Invertivore,Insessorial,1.0,3625177.22,-6.49,19.11,11.75,12.64,27.772937774658203,335.0129699707031,40.854248046875,13.0625,407.0
Butastur teesa,Accipitridae,Accipitriformes,30.6,10.7,13.8,60.4,295.4,44.5,191.0,325.0,Woodland,Carnivore,Vertivore,Insessorial,1.0,3969936.2,8.07,35.29,78.91,23.18,25.819374084472656,521.449951171875,42.298248291015625,10.787500381469727,1200.0
Buteo albonotatus,Accipitridae,Accipitriformes,35.1,12.7,16.9,70.4,398.0,40.3,217.0,745.9,Forest,Carnivore,Vertivore,Aerial,1.0,7192504.19,-28.09,36.47,-69.62,0.47,25.524322509765625,49.3458251953125,30.74449920654297,20.320999145507812,3323.0
Buteo augur,Accipitridae,Accipitriformes,42.7,13.3,18.9,89.3,410.2,31.4,188.5,1099.2,Woodland,Carnivore,Vertivore,Insessorial,1.0,3919632.94,-25.31,16.4,31.96,-5.73,23.961082458496094,112.91492462158203,32.30649948120117,14.986749649047852,1026.0
Buteo auguralis,Accipitridae,Accipitriformes,33.3,11.2,15.6,73.6,356.2,37.8,192.6,663.9,Forest,Carnivore,Vertivore,Insessorial,1.0,7045229.26,-12.58,16.03,12.15,7.61,24.13106346130371,123.0919418334961,32.81850051879883,15.2212495803833,1490.0
Buteo brachypterus,Accipitridae,Accipitriformes,33.6,11.5,16.4,63.1,315.4,31.7,184.4,511.0,Forest,Carnivore,Vertivore,Insessorial,1.0,591120.44,-25.61,-11.95,46.7,-19.38,18.588844299316406,209.63282775878906,26.38599967956543,8.261500358581543,1620.0
